mechanism	gene_or_pathway	evidence_type	evidence_tier	resources_supporting	artifact_risk	biological_interpretation	relevance_to_aging_longevity	translational_relevance	required_validation	claim_language_guardrail
Telomere-related biology	TERF1	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;config/candidate_panels.yaml;results/orthology/candidate_copy_number.tsv;results/evidence/integrated_evidence.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for TERF1 in 3/3 quantified runs (median TPM 11.019458). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Confirm orthology, domain architecture, locus context, annotation consistency, and cross-resource support before telomere-related biological interpretation.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Telomere-related biology	TERF2	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;config/candidate_panels.yaml;results/orthology/candidate_copy_number.tsv;results/evidence/integrated_evidence.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for TERF2 in 3/3 quantified runs (median TPM 9.997782). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Confirm orthology, domain architecture, locus context, annotation consistency, and cross-resource support before telomere-related biological interpretation.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Telomere-related biology	POT1	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;config/candidate_panels.yaml;results/orthology/candidate_copy_number.tsv;results/evidence/integrated_evidence.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for POT1 in 3/3 quantified runs (median TPM 3.737380). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Confirm orthology, domain architecture, locus context, annotation consistency, and cross-resource support before telomere-related biological interpretation.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Telomere-related biology	TINF2	candidate_presence_or_not_assessed;phase8a_retina_expression_support_limited_exploratory;phase8b_final_tier_audit	Tier 2	CMIL_REFSEQ_2021;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;config/candidate_panels.yaml;results/orthology/candidate_copy_number.tsv;results/evidence/integrated_evidence.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;limited_exploratory_retina_expression_signal;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records limited retina expression signal for TINF2 in 1/3 quantified runs (median TPM 0.607408). Treat this as exploratory tissue signal only. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Confirm orthology, domain architecture, locus context, annotation consistency, and cross-resource support before telomere-related biological interpretation.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Telomere-related biology	ACD	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;config/candidate_panels.yaml;results/orthology/candidate_copy_number.tsv;results/evidence/integrated_evidence.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	moderate;moderate_isoform_summarization_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_moderate	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for ACD in 3/3 quantified runs (median TPM 19.365299). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with moderate artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Confirm orthology, domain architecture, locus context, annotation consistency, and cross-resource support before telomere-related biological interpretation.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Telomere-related biology	TERF2IP	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;config/candidate_panels.yaml;results/orthology/candidate_copy_number.tsv;results/evidence/integrated_evidence.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for TERF2IP in 3/3 quantified runs (median TPM 5.709338). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Confirm orthology, domain architecture, locus context, annotation consistency, and cross-resource support before telomere-related biological interpretation.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Ferroptosis, iron handling, and oxidative stress	FTH1	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for FTH1 in 3/3 quantified runs (median TPM 1035.246010). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Ferroptosis, iron handling, and oxidative stress	FTL	candidate_presence_or_not_assessed;phase8a_expression_not_interpretable;phase8b_final_tier_audit	Artifact/uncertain	results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	not_assessable;high_reference_mapping_uncertainty;low_mapping_rate_caveat;very_low_mapping_rate_caveat;expression_not_interpretable_current_reference;phase8b_artifact_risk_high	Do not claim biologically; evidence is incomplete or artifact-prone. Phase 7e marks FTL expression as not interpretable under the current reference and validation state. Phase 8b final audit retains Artifact/uncertain and classifies this candidate as ARTIFACT_UNCERTAIN_DO_NOT_CLAIM_BIOLOGICALLY with high artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	ANNOTATION_UNCERTAINTY: do not infer absence;validate with reciprocal similarity searches, protein-to-genome alignment, and manual annotation review.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Ferroptosis, iron handling, and oxidative stress	GPX4	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for GPX4 in 3/3 quantified runs (median TPM 560.388578). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Antioxidant response	NFE2L2	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for NFE2L2 in 3/3 quantified runs (median TPM 44.892613). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
